"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"207","MARCHF2",34.4459730676159,-0.70460164326012,0.289966415845743,-2.42994224419064,0.0151012290422929,0.191222130141512
"208","NDUFB7",97.4230457547278,-0.582010680080911,0.256192836228755,-2.27176797231455,0.0231005282566061,0.22441631290537
"209","CDC34",16.2389292512367,-0.818129408482323,0.368644353168715,-2.21929184985479,0.0264668757285596,0.236363130190631
"210","YPEL1",9.17933607430575,-1.70802262959544,0.547727240441454,-3.11838174821981,0.00181847098103864,0.0670778600136165
"211","MAPK1",39.072297798631,-0.895987197290505,0.315927169352036,-2.83605616803445,0.00456744125633289,0.110399349341106
"212","SLC25A1",16.0451806973072,-0.830590158190041,0.325792415105128,-2.54944596522305,0.0107894229568711,0.166450866455354
"213","HPS4",36.0163178626666,0.705459155893166,0.294813527068779,2.39289954876658,0.0167158168653328,0.199048085591469
"214","JOSD1",50.5007251805459,0.8135101107066,0.41277529616744,1.97083042095767,0.0487432758421604,0.302958206772813
"215","AP1B1",10.1263046605208,-0.835914158059452,0.375385171754761,-2.22681720258667,0.0259594932073679,0.234881340566757
"216","APOBEC3H",11.3008137696752,-1.90366348833327,0.562341013425706,-3.38524746174284,0.000711141122526326,0.0413241183802284
"217","ARSA",15.6204545751155,-0.86327851173273,0.432286654631996,-1.99700477098382,0.0458246647156925,0.293416192790894
"218","RPL3",4367.60866751474,0.601259543649307,0.256541111965974,2.34371613595038,0.0190926963609221,0.206628039140688
"219","MIEF1",16.2785783957244,1.09441696700988,0.50375908368779,2.17250071005798,0.0298179161400393,0.245711928810766
"220","APOL1",8.32678375580976,-1.89479426666175,0.559584382396561,-3.38607424772438,0.000709001979901167,0.0413241183802284
"221","MYH9",165.823661603255,-0.55880509274047,0.202685812078837,-2.75700152373327,0.00583340796916733,0.125452615153721
"222","NCF4",10.2333748164323,-1.12296913530888,0.474724484791043,-2.36551762398177,0.0180048863195488,0.204398879098208
"223","ACO2",33.2250949111419,-0.586697558498533,0.233925707211882,-2.50805080592157,0.0121399210669139,0.174100681777315
"224","PMM1",20.0765561476587,-0.660868024753187,0.326108944257285,-2.02652529588944,0.0427109832042159,0.286547586244193
"225","FKBP3",41.7358383260968,-0.560987994173617,0.28114351096536,-1.99537948518661,0.0460015066707236,0.294104583718477
"226","GZMH",135.23571686794,-4.10242472311639,1.67583994793655,-2.44798122169583,0.0143659142580436,0.187797252026567
"227","GZMB",48.0273818509189,-3.65898447793979,1.4182927041042,-2.57985144205533,0.00988428260533228,0.160343323163536
"228","PYGL",1.22302221676316,-2.63109451842912,1.27524265316523,-2.06321088139468,0.0390925967500533,NA
"229","DDHD1",61.2453157079204,0.57262251842724,0.232744391525153,2.4603064102851,0.0138818441223445,0.185385326194688
"230","ATP6V1D",21.9586964415705,-0.698784729526966,0.347310407252456,-2.01198903037486,0.0442210933504572,0.289707142945556
"231","VTI1B",33.2865592953443,-0.954256633439688,0.270465682172455,-3.52819857134863,0.000418398163818317,0.0309655720829741
"232","ITPK1",9.75536933354517,-0.930559363925524,0.416385484533226,-2.23485063358703,0.0254271564222169,0.233215129822798
"233","DHRS7",82.1455912526592,-0.514313615571105,0.198343620628159,-2.59304339581107,0.00951307661561265,0.158761985327605
"234","SRSF5",364.076771131353,0.462349835779824,0.222832908785357,2.07487232608529,0.0379983691423264,0.2738981850497
"235","ZFYVE21",6.21597489481612,-1.23802329629205,0.537934608788366,-2.30143827161548,0.0213668707496739,0.215805394571707
